# P7-3 effect/contrast retention (planted mode): retention error = |syn - real| / |real| per seed, aggregated by mean/median over seeds
# financial -> target=delta; vshape -> target=contrast (plant_xor also phi=xor interaction when present)
# series: chainnpm / privmrf(=privmrf+pertable, pertable preferred) / privpetal; denorm excluded; privpetal n=3 eps3.2 only; privbayes/pbpgm/lavaprop no planted data
dataset	mode	eps	t	series	target	n	real_mean	real_med	syn_mean	syn_med	ret_err_mean	ret_err_med
instacart	plant_product	0.8	0.100	privmrf	contrast	10	0.098066	0.098162	-0.000173	0.000048	1.001744	0.999463
instacart	plant_product	0.8	0.200	chainnpm	contrast	10	0.187385	0.186821	0.195092	0.196434	0.103223	0.091021
instacart	plant_product	0.8	0.200	privmrf	contrast	10	0.187385	0.186821	-0.000173	0.000048	1.000910	0.999735
instacart	plant_product	0.8	0.316	chainnpm	contrast	10	0.298361	0.297006	0.307813	0.312765	0.065760	0.058104
instacart	plant_product	0.8	0.316	privmrf	contrast	10	0.298361	0.297006	-0.000173	0.000048	1.000579	0.999831
instacart	plant_product	0.8	0.400	chainnpm	contrast	10	0.398444	0.395000	0.409573	0.414602	0.050347	0.042002
instacart	plant_product	0.8	0.400	privmrf	contrast	10	0.398444	0.395000	-0.000173	0.000048	1.000445	0.999883
instacart	plant_product	3.2	0.100	chainnpm	contrast	10	0.098066	0.098162	0.094242	0.094647	0.062992	0.055202
instacart	plant_product	3.2	0.100	privmrf	contrast	10	0.098066	0.098162	0.001418	0.001197	0.985421	0.988001
instacart	plant_product	3.2	0.200	chainnpm	contrast	10	0.187385	0.186821	0.185063	0.182337	0.027109	0.021612
instacart	plant_product	3.2	0.200	privmrf	contrast	10	0.187385	0.186821	0.001418	0.001197	0.992400	0.993525
instacart	plant_product	3.2	0.316	chainnpm	contrast	10	0.298361	0.297006	0.296599	0.295190	0.014464	0.011427
instacart	plant_product	3.2	0.316	privmrf	contrast	10	0.298361	0.297006	0.001418	0.001197	0.995233	0.996058
instacart	plant_product	3.2	0.316	privpetal	contrast	3	0.306200	0.306200	-0.001149	-0.003363	1.003753	1.010982
instacart	plant_product	3.2	0.400	chainnpm	contrast	10	0.398444	0.395000	0.398977	0.399670	0.011501	0.011960
instacart	plant_product	3.2	0.400	privmrf	contrast	10	0.398444	0.395000	0.001418	0.001197	0.996441	0.997062
instacart	plant_xor	0.8	0.800	chainnpm	contrast	10	-1.013989	-1.013968	-0.988673	-0.984362	0.026913	0.029259
instacart	plant_xor	0.8	0.800	chainnpm	phi	10	0.717257	0.717253	0.719624	0.717264	0.005516	0.003129
instacart	plant_xor	0.8	0.800	privmrf	contrast	10	-1.013989	-1.013968	-0.000173	0.000048	0.999829	1.000048
instacart	plant_xor	0.8	0.800	privmrf	phi	10	0.717257	0.717253	0.498840	0.498636	0.304516	0.304802
instacart	plant_xor	3.2	0.800	chainnpm	contrast	10	-1.013989	-1.013968	-1.007124	-1.004614	0.008814	0.009219
instacart	plant_xor	3.2	0.800	chainnpm	phi	10	0.717257	0.717253	0.724347	0.723739	0.009886	0.009032
instacart	plant_xor	3.2	0.800	privmrf	contrast	10	-1.013989	-1.013968	0.001418	0.001197	1.001398	1.001181
instacart	plant_xor	3.2	0.800	privmrf	phi	10	0.717257	0.717253	0.498529	0.498506	0.304950	0.304987
instacart	plant_xor	3.2	0.800	privpetal	contrast	3	-1.013947	-1.013947	0.001383	0.000140	1.001364	1.000139
instacart	plant_xor	3.2	0.800	privpetal	phi	3	0.717249	0.717249	0.512930	0.513473	0.284865	0.284108
movielens	plant_product	0.8	0.100	chainnpm	contrast	10	0.109142	0.108670	0.146597	0.126987	0.787351	0.722764
movielens	plant_product	0.8	0.100	privmrf	contrast	10	0.109142	0.108670	-0.000204	-0.000256	1.001852	1.002332
movielens	plant_product	0.8	0.200	chainnpm	contrast	10	0.184524	0.184248	0.214345	0.196051	0.476556	0.435056
movielens	plant_product	0.8	0.200	privmrf	contrast	10	0.184524	0.184248	-0.000204	-0.000256	1.001106	1.001394
movielens	plant_product	0.8	0.316	chainnpm	contrast	10	0.298062	0.296675	0.309800	0.290615	0.290533	0.265970
movielens	plant_product	0.8	0.316	privmrf	contrast	10	0.298062	0.296675	-0.000204	-0.000256	1.000680	1.000865
movielens	plant_product	0.8	0.400	chainnpm	contrast	10	0.297345	0.296794	0.310186	0.299262	0.287520	0.260384
