# P7-1 summary: natural mode, 2-hop RE = re_median_large[financial=2hop_topbot | imdb=cross_r1r2 | instacart=cross_r1r2 | movielens=cross_r1r2] (large queries, prereg query_seed=123, 150 queries/class, large_count=50)
# bootstrap: 1000 resamples of per-seed means, RNG seed 42; series labels follow final figures (denorm excluded; PrivMRF = privmrf+pertable, pertable preferred)
dataset	series	eps	n	mean	median	std	boot_lo	boot_hi
imdb	privbayes	3.2	10	0.204666	0.204022	0.006774	0.200974	0.208765
imdb	pbpgm	0.1	10	0.222393	0.224442	0.013610	0.214206	0.229608
imdb	pbpgm	0.2	10	0.211786	0.210273	0.007172	0.207715	0.216145
imdb	pbpgm	0.4	10	0.211631	0.212906	0.006116	0.208052	0.214750
imdb	pbpgm	0.8	10	0.208427	0.205506	0.007346	0.203985	0.212938
imdb	pbpgm	1.6	10	0.205164	0.201849	0.009571	0.199960	0.211232
imdb	pbpgm	3.2	10	0.206356	0.205232	0.006377	0.202910	0.210450
instacart	chainnpm	0.1	10	0.576039	0.567438	0.120523	0.507855	0.648645
instacart	chainnpm	0.2	10	0.548130	0.558292	0.068359	0.508293	0.587664
instacart	chainnpm	0.4	10	0.420765	0.418889	0.029295	0.403680	0.437584
instacart	chainnpm	0.8	10	0.350655	0.348357	0.035311	0.332047	0.373827
instacart	chainnpm	1.6	10	0.391897	0.383362	0.034510	0.372187	0.411766
instacart	chainnpm	3.2	10	0.447491	0.451793	0.023434	0.435052	0.462778
instacart	privpetal	0.1	10	1.191721	1.207270	0.041710	1.166478	1.216140
instacart	privpetal	0.2	10	1.030244	1.032389	0.035727	1.009253	1.050843
instacart	privpetal	0.4	10	0.453334	0.453621	0.018612	0.442211	0.464309
instacart	privpetal	0.8	10	0.444570	0.444328	0.012576	0.437274	0.452129
instacart	privpetal	1.6	10	0.441932	0.442837	0.008280	0.436608	0.446481
instacart	privpetal	3.2	10	0.438557	0.438256	0.004081	0.436320	0.441012
instacart	lavaprop	0.1	10	0.908198	0.904419	0.012269	0.901160	0.915679
instacart	lavaprop	0.2	10	0.902850	0.900831	0.006380	0.899649	0.906741
instacart	lavaprop	0.4	10	0.909227	0.908250	0.004610	0.906919	0.912228
instacart	lavaprop	0.8	10	0.920179	0.919829	0.003290	0.918364	0.922173
instacart	lavaprop	1.6	10	0.933017	0.933662	0.005216	0.930008	0.936129
instacart	lavaprop	3.2	10	0.952802	0.953424	0.005074	0.949730	0.955602
instacart	privmrf	0.1	10	0.496340	0.505970	0.019961	0.484934	0.508141
instacart	privmrf	0.2	10	0.493779	0.496997	0.040295	0.473030	0.519152
instacart	privmrf	0.4	10	0.478122	0.471081	0.039019	0.456022	0.500840
instacart	privmrf	0.8	10	0.504366	0.502095	0.036998	0.484153	0.525783
instacart	privmrf	1.6	10	0.485422	0.490547	0.034276	0.463688	0.503161
instacart	privmrf	3.2	10	0.491069	0.480562	0.048629	0.465218	0.522678
instacart	privbayes	0.1	10	0.669970	0.666014	0.050347	0.642059	0.702313
instacart	privbayes	0.2	10	0.548786	0.547914	0.021241	0.536014	0.560822
instacart	privbayes	0.4	10	0.507397	0.501397	0.047653	0.479866	0.535755
instacart	privbayes	0.8	10	0.485888	0.488152	0.009599	0.480289	0.491256
instacart	privbayes	1.6	10	0.478906	0.478730	0.048957	0.452024	0.511905
instacart	privbayes	3.2	10	0.481670	0.481449	0.010198	0.475071	0.487312
instacart	pbpgm	0.1	10	0.516942	0.500932	0.040809	0.494500	0.540648
instacart	pbpgm	0.2	10	0.474332	0.477188	0.014714	0.465485	0.482615
instacart	pbpgm	0.4	10	0.474135	0.469196	0.029183	0.458051	0.491294
instacart	pbpgm	0.8	10	0.478456	0.479358	0.010366	0.472344	0.484213
instacart	pbpgm	1.6	10	0.474081	0.479125	0.036315	0.450305	0.492702
instacart	pbpgm	3.2	10	0.477279	0.476058	0.011840	0.470445	0.484498
movielens	chainnpm	0.1	10	0.932555	0.975831	0.096432	0.872585	0.985830
movielens	chainnpm	0.2	10	0.807283	0.777242	0.104462	0.753077	0.872444
movielens	chainnpm	0.4	10	0.728141	0.726933	0.060836	0.694694	0.763836
movielens	chainnpm	0.8	10	0.664198	0.665339	0.071765	0.622892	0.707828
movielens	chainnpm	1.6	10	0.608311	0.616233	0.082651	0.565666	0.657979
movielens	chainnpm	3.2	10	0.516368	0.515751	0.057878	0.486082	0.552065
movielens	privpetal	0.1	10	0.667127	0.666655	0.025445	0.651920	0.681867
movielens	privpetal	0.2	10	0.787316	0.773891	0.063110	0.760525	0.831043
movielens	privpetal	0.4	10	0.832117	0.818057	0.048272	0.815094	0.863152
movielens	privpetal	0.8	10	0.812929	0.800706	0.032850	0.799222	0.835135
movielens	privpetal	1.6	10	0.814065	0.810638	0.009329	0.808887	0.819897
movielens	privpetal	3.2	10	0.816512	0.816626	0.007378	0.812680	0.821255
movielens	lavaprop	0.1	10	0.978578	0.980535	0.005659	0.975310	0.982033
movielens	lavaprop	0.2	10	0.982651	0.982709	0.004278	0.980133	0.984913
movielens	lavaprop	0.4	10	0.981689	0.981877	0.006171	0.977900	0.984955
movielens	lavaprop	0.8	10	0.970585	0.968563	0.008009	0.966157	0.975453
movielens	lavaprop	1.6	10	0.974524	0.974167	0.005356	0.971695	0.977509
movielens	lavaprop	3.2	10	0.963389	0.963382	0.005856	0.960112	0.967014
movielens	privmrf	0.1	10	0.388978	0.388572	0.027124	0.373304	0.406240
movielens	privmrf	0.2	10	0.355236	0.354112	0.017557	0.344815	0.366249
movielens	privmrf	0.4	10	0.344382	0.347462	0.037414	0.322146	0.364840
movielens	privmrf	0.8	10	0.341590	0.340568	0.015186	0.331784	0.349787
movielens	privmrf	1.6	10	0.333353	0.338203	0.025730	0.318186	0.347851
movielens	privmrf	3.2	10	0.329961	0.331137	0.017929	0.318259	0.340148
movielens	privbayes	0.1	10	0.417914	0.410990	0.051298	0.389293	0.448681
movielens	privbayes	0.2	10	0.372045	0.381017	0.035285	0.349046	0.391325
movielens	privbayes	0.4	10	0.367265	0.360547	0.020873	0.355512	0.378894
movielens	privbayes	0.8	10	0.346009	0.344067	0.013148	0.338475	0.354772
movielens	privbayes	1.6	10	0.346162	0.346134	0.024122	0.331771	0.360240
movielens	privbayes	3.2	10	0.332423	0.326614	0.015479	0.324609	0.341279
movielens	pbpgm	0.1	10	0.449848	0.453404	0.072364	0.408952	0.491956
movielens	pbpgm	0.2	10	0.389864	0.392798	0.021787	0.376691	0.402133
movielens	pbpgm	0.4	10	0.373175	0.379385	0.025834	0.357147	0.388609
movielens	pbpgm	0.8	10	0.343739	0.342026	0.016557	0.334349	0.354133
movielens	pbpgm	1.6	10	0.349068	0.350546	0.028823	0.331920	0.367579
movielens	pbpgm	3.2	10	0.326377	0.325732	0.010266	0.320071	0.332245
